Species,Subgenus,MbDNA_Male,MbDNA_Female,CTMax_Overall,CTMin_Overall,TMax,TMin,LatMin,LatMax,LatRange,Precip,Dev_Time,Haploid_Number,GbifArea,LongMin,LongMax,LongRange
Chymomyza_amoena,Chymomyza,395.2,384.8,,,,,29.426684,60.971243,31.544559,,,4,4026.613102,-99.82813,47.485999,147.314129
Chymomyza_procnemis,Chymomyza,298.2,262.4,,,,,-25.123,-25.123,NA,,,4,0,31.916,31.916,NA
Drosophila_acanthoptera,,175.4,173.9,,,,,,,NA,,16,5,NA,,,NA
Drosophila_affinis,Sophophora,165.6,168.7,37.49,1.53,31.19,-3.73,10.763,60.7875,50.0245,1104.07,15.5,5,3882.315153,-151.058272,-73.449997,77.608275
Drosophila_albomicans,Drosophila,170,161.7,,,,,-23.852,31.42,55.272,,11.5,4,15585.26693,-151.424,130.55,281.974
Drosophila_algonquin,Sophophora,170,156.2,,,,,40.7665,44.2708,3.5043,,,5,49.66153788,-85.4751,-71.3035,14.1716
Drosophila_ambigua,Sophophora,168.3,158.9,,,,,42.53014,60.359155,17.829015,,,5,534.2639966,-4.240976,25.637898,29.878874
Drosophila_ananassae,Sophophora,179.9,169,,,,,-19.2829,54.021546,73.304446,,13,4,22422.82678,-151.424,146.801,298.225
Drosophila_anceps,Drosophila,171.8,159.1,38.87,4.18,29.71,7.4,,,NA,836.4,15,6,NA,,,NA
Drosophila_arawakana,Drosophila,187.5,165.5,,,,,17.25,17.25,NA,,14.5,4,1.189465354,-62.67,-61.53977,1.13023
Drosophila_arizonae,,203.1,192.9,42.46,1.83,34.07,7.01,,,NA,543.69,15.5,,NA,,,NA
Drosophila_atripex,Sophophora,201.8,207.5,,,,,3.1295,3.1295,NA,,,4,0,101.657,101.657,NA
Drosophila_auraria,Sophophora,231,218.7,37.69,2.49,28.5,-4.56,,,NA,1518.24,18,4,NA,,,NA
Drosophila_azteca,Sophophora,207.4,199.5,38.95,3.41,29.73,2.65,,,NA,853.77,,5,0,-118,-118,NA
Drosophila_baimaii,Sophophora,145.2,137.5,,,,,,,NA,,17.5,4,NA,,,NA
Drosophila_barbarae,Sophophora,155.8,145.6,,,,,44.619999,44.62,1.00E-06,,14,4,3.00E-12,-75.77,-75.769997,3.00E-06
Drosophila_biauraria,Sophophora,176.5,148.3,,,,,,,NA,,16,3,NA,,,NA
Drosophila_bicornuta,Sophophora,245.9,250.1,,,,,3.1295,3.317,0.1875,,17,4,0.0174375,101.657,101.75,0.093
Drosophila_bifasciata,Sophophora,176.8,174.3,,,,,48.165,68.04536,19.88036,,14.5,5,326.5942559,5.75,22.177985,16.427985
Drosophila_bipectinata,Sophophora,192.1,191.6,38.24,7.93,32.7,13.44,-23.222,31.4167,54.6387,1934.43,14.5,4,13741.1413,-105.042,146.449,251.491
Drosophila_birchii,Sophophora,175.9,175.3,37.84,6.94,30.19,11.62,-16.75,-5.2254,11.5246,1539.73,17,4,6.9378092,145.081,145.683,0.602
Drosophila_borealis,Drosophila,206.4,207.1,,,,,45.93,53.85,7.92,,20,6,324.0072158,-106.080002,-65.17,40.910002
Drosophila_bromeliae,Sophophora,241.6,249.6,,,,,,,NA,,15,4,NA,,,NA
Drosophila_bunnanda,,298,303.1,38.37,6.61,30.95,15.29,-16.8678,-16.8678,NA,1811.23,,,0,145.6731,145.6731,NA
Drosophila_busckii,,227.6,229.3,37.51,5.09,26.91,-1.55,-43.579597,65.089326,108.668923,1027.78,16.5,3,31693.25491,-122.906709,174.668437,297.575146
Drosophila_buzzatii,Drosophila,257.8,261.5,41.8,3.43,30.13,6.72,-37.654,32.9396,70.5936,1027.78,18,6,8881.522003,27.545,153.357,125.812
Drosophila_capricorni,Sophophora,240.6,242.8,,,,,,,NA,,15,3,NA,,,NA
Drosophila_cardini,Drosophila,259.5,259.3,39.29,6.11,30.29,11.54,10.763,38.97390038,28.21090038,1754,,6,1001.827413,-118.6,-78.940002,39.659998
Drosophila_diplacantha,,253.1,260.1,37.27,6.89,31.46,18.83,,,NA,,18.5,4,NA,,,NA
Drosophila_dunni,Drosophila,192.9,197.9,,,,,18.2131,18.3997,0.1866,,15,4,0.41380416,-67.1376,-64.92,2.2176
Drosophila_elegans,Sophophora,256.4,254.4,,,,,25.07054446,25.07054446,NA,,12,5,0.002013924,7.262,121.7675467,114.5055467
Drosophila_emarginata,Sophophora,196,192.4,38.98,7.78,28.75,15.1,10.4311361,10.9292,0.4980639,1913.36,,3,0.02182206,-85.4643,-84.00338889,1.46091111
