"Species","area_mkm2","latmean","latmax","latmin","latrange","Subgenus","Tmax","Tmin","MbDNA_Male","MbDNA_Female"
"Drosophila_acanthoptera",31.9167484689643,-2.54192117850689,48.4166666666667,-48.0833333333333,96.5,"",34.07,7.01,175.4,173.9
"Drosophila_affinis",38.7595438666613,-2.6970642409816,57.5833333333333,-48.0833333333333,105.666666666667,"Sophophora",35.06,5.49,165.6,168.7
"Drosophila_algonquin",25.1071053591957,-1.11927893933493,32.5833333333333,-31.5833333333333,64.1666666666667,"Sophophora",34.81,13.14,170,156.2
"Drosophila_ananassae",8.10558950164184,-5.50685425685425,49.9166666666667,-48.0833333333333,98,"Sophophora",30.13,6.72,179.9,169
"Drosophila_anceps",3.71882785749797,-4.74322154834106,39.9166666666667,-40.4166666666667,80.3333333333333,"Drosophila",29.14,9.03,171.8,159.1
"Drosophila_arawakana",5.89266342669056,-5.99266595289079,63.0833333333333,-50.9166666666667,114,"Drosophila",28.8,3.6,187.5,165.5
"Drosophila_atripex",6.1202442816034,-5.49384787472035,43.4166666666667,-48.0833333333333,91.5,"Sophophora",29.71,7.4,201.8,207.5
"Drosophila_azteca",5.13746366222217,2.85601664294318,67.5833333333333,-55.9166666666667,123.5,"Sophophora",27.04,-0.12,207.4,199.5
"Drosophila_bicornuta",6.28516431548888,-4.77069693769799,42.5833333333333,-48.0833333333333,90.6666666666667,"Sophophora",30.02,8.7,245.9,250.1
"Drosophila_birchii",35.5869623515559,0.640111568295249,83.5833333333333,-84.25,167.833333333333,"Sophophora",32.43,-1.96,175.9,175.3
"Drosophila_bromeliae",22.0731280545123,7.25829139860289,83.5833333333333,-84.25,167.833333333333,"Sophophora",30.48,-5.57,241.6,249.6
"Drosophila_busckii",10.5729699549927,14.6136360084089,83.5833333333333,-84.25,167.833333333333,"",27.16,-6.94,227.6,229.3
"Drosophila_capricorni",8.94384048678207,26.5150079280967,83.5833333333333,-84.25,167.833333333333,"Sophophora",24.09,-12.11,240.6,242.8
"Drosophila_diplacantha",4.45166266253094,15.2838758701834,83.5833333333333,-84.25,167.833333333333,"",22.46,-7.01,253.1,260.1
"Drosophila_dunni",8.13186946245446,30.2556306885381,83.5833333333333,-84.25,167.833333333333,"Drosophila",22.66,-14.61,192.9,197.9
